participant,feature_index,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5
166849_Utility_discrimination_2024_2cat_2025-03-19_19h23.08.912,2,1.5679229737419194,1.54,1.5531241108847642,1.4366159650918,1.4400000000000002,1.4302913467640583,0.13130700865011935,0.09999999999999987,0.12283276412070587,0.19598598902057565,0.1,0.12847402404592187,0.8382772126761106,0.82,0.8403291239211981,-0.6422912236555349,-0.72,-0.7118550998752762
229150_Utility_discrimination_2024_2cat_2025-03-14_20h34.33.419,2,0.5673423439660642,0.56,0.5595438140168607,0.27368251105502983,0.26,0.2642947757156301,0.29365983291103437,0.30000000000000004,0.2952490383012306,0.3049182844856241,0.55,0.38623176063274967,0.34925226904562284,0.27,0.32357782168002236,-0.04433398455999876,0.28,0.0626539389527273
053539_Utility_discrimination_2024_2cat_2025-03-17_00h40.52.420,2,0.6539903417809195,0.63,0.6408531573174558,0.3091820289186181,0.30000000000000004,0.300907787254869,0.3448083128623014,0.32999999999999996,0.33994537006258685,0.4504469719667423,0.48,0.4747333357098895,-0.03418940847521912,0.060000000000000005,-0.01705805477643682,0.48463638044196145,0.42,0.49179139048632636
856852_Utility_discrimination_2024_2cat_2025-03-14_11h38.16.574,2,0.40456936285557354,0.4,0.3966989605325486,1.367265856107008,1.34,1.3513834209181057,-0.9626964932514344,-0.9400000000000001,-0.9546844603855571,0.2686693466818266,0.25,0.256438887221832,1.0594239019272886,1.03,1.0468237171452486,-0.790754555245462,-0.78,-0.7903848299234166
059774_Utility_discrimination_2024_2cat_2025-03-18_22h04.37.229,2,0.20175688637493147,0.18,0.18937069158202496,0.18368824645528223,0.15000000000000002,0.16126535303129397,0.018068639919649243,0.02999999999999997,0.028105338550730996,0.4319496128955391,0.36,0.40427176357390415,0.0475107721713328,-0.01999999999999999,0.01967603477469597,0.3844388407242063,0.38,0.38459572879920817
848799_Utility_discrimination_2024_2cat_2025-03-12_13h57.25.042,2,0.5756078401406264,0.65,0.6138127002199898,0.3337502630529011,0.30000000000000004,0.32235892151681966,0.24185757708772526,0.35,0.29145377870317013,0.26587955897580307,0.62,0.22594531536152118,0.2518228904759836,0.2,0.23184619913471904,0.014056668499819458,0.42,-0.0059008837731978625
664805_Utility_discrimination_2024_2cat_2025-03-14_19h38.57.391,2,0.2960178216822146,0.28,0.2851047913097462,0.2725440396193436,0.27,0.26739987630643725,0.023473782062870985,0.010000000000000009,0.017704915003308952,0.2570476590977062,0.22,0.24178148665517732,0.317226234718236,0.23,0.29032612147128267,-0.060178575620529806,-0.010000000000000009,-0.04854463481610535
953060_Utility_discrimination_2024_2cat_2025-03-17_16h04.09.188,2,0.21877233732878493,0.21000000000000002,0.2105212941631222,0.39974253266901605,0.39,0.3900173594570725,-0.18097019534023112,-0.18,-0.1794960652939503,0.437024911445166,0.36,0.4077584634997029,-0.04060344852453587,0.020000000000000004,-0.02944703217846581,0.4776283599697019,0.33999999999999997,0.4372054956781687
537791_Utility_discrimination_2024_2cat_2025-03-14_20h45.35.085,2,0.3204042111689851,0.31,0.3093911781284285,0.1679843029180927,0.16,0.16073530067780312,0.1524199082508924,0.15,0.14865587745062536,0.4933956452625472,0.42000000000000004,0.46623659193921363,0.2698937115249655,0.2,0.24528449645026895,0.2235019337375817,0.22000000000000003,0.22095209548894468
501271_Utility_discrimination_2024_2cat_2025-03-14_15h23.42.123,2,0.13359832401016103,0.13,0.12703753474463847,0.2269690887677603,0.22,0.21777070546286198,-0.09337076475759928,-0.09,-0.09073317071822351,0.39062095605043623,0.31,0.3605292405092797,0.3789841199785259,0.29000000000000004,0.3449804671175841,0.01163683607191035,0.019999999999999962,0.01554877339169558
