participant,feature_index,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5
249109_Utility_discrimination_2024_2cat_2025-03-17_10h37.42.839,1,0.6521778544858223,0.6799999999999999,0.6780048171279542,0.7906964839110974,0.75,0.7699726321030151,-0.13851862942527504,-0.07000000000000006,-0.0919678149750609,0.42736160815194413,0.36,0.40177487103552534,-0.05253482159360792,-0.04000000000000001,-0.05660434239397988,0.479896429745552,0.4,0.4583792134295052
699892_Utility_discrimination_2024_2cat_2025-03-15_14h12.47.943,1,0.14269563420537817,0.14,0.13530453963128022,0.2101534695223417,0.19,0.19588444763265073,-0.06745783531696353,-0.04999999999999999,-0.0605799080013705,-0.07264415815817263,-0.04000000000000001,-0.0740148977199847,0.29996750207251877,0.21000000000000002,0.26967207538930704,-0.37261166023069137,-0.25,-0.34368697310929175
639188_Utility_discrimination_2024_2cat_2025-03-17_13h17.01.639,1,0.08589261044655704,0.08,0.08190951493842562,0.38719360457275565,0.37,0.37477831613389934,-0.3013009941261986,-0.29,-0.2928688011954737,0.07474190872625353,0.1,0.07612319490995315,0.24405871651800007,0.2,0.22407577651399882,-0.16931680779174654,-0.1,-0.14795258160404567
872718_Utility_discrimination_2024_2cat_2025-03-18_22h58.34.246,1,1.7235526206331442,1.7000000000000002,1.7104802037959463,1.5482978072244067,1.53,1.5359455331935856,0.1752548134087375,0.17000000000000015,0.17453467060236072,0.10061630684323832,0.1,0.09515338216775662,0.10196090155800333,0.1,0.09552447934365572,-0.0013445947147650156,0.0,-0.00037109717589910163
197640_Utility_discrimination_2024_2cat_2025-03-14_12h20.24.150,1,0.1614699046057942,0.16,0.15495376608625097,0.1637724013791335,0.16,0.15637485496418,-0.0023024967733392965,0.0,-0.001421088877929022,-0.09169368996330951,-0.04000000000000001,-0.08179082999508142,-0.09882603125970571,-0.03,-0.08747695488734528,0.0071323412963962,-0.010000000000000009,0.005686124892263861
227467_Utility_discrimination_2024_2cat_2025-03-13_18h34.20.777,1,-1.241188582586853,-1.23,-1.2417812341422751,-1.4709693551776455,-1.48,-1.4789216294677483,0.22978077259079255,0.25,0.23714039532547315,-0.04266882834756175,-0.19999999999999998,-0.07823905333759928,0.30464881552692413,0.23,0.27902385299457044,-0.3473176438744859,-0.43,-0.3572629063321697
171876_Utility_discrimination_2024_2cat_2025-03-15_10h05.58.976,1,0.11442545347372773,0.1,0.10536959696415273,0.10643426242269668,0.09000000000000001,0.09658998349104268,0.007991191051031049,0.009999999999999995,0.008779613473110043,0.24125638877389474,0.15000000000000002,0.20846776512880377,-0.18015809673280422,-0.19999999999999998,-0.19335676181886616,0.42141448550669897,0.35,0.4018245269476699
225967_Utility_discrimination_2024_2cat_2025-03-14_09h00.29.757,1,1.5516626514329486,1.53,1.5384121103876989,1.593849412801139,1.57,1.5808367935992012,-0.04218676136819033,-0.040000000000000036,-0.04242468321150228,0.7372701126295668,1.4500000000000002,0.5417993878239578,1.0879831204862285,1.04,1.1017349776999952,-0.3507130078566617,0.41000000000000014,-0.5599355898760374
772950_Utility_discrimination_2024_2cat_2025-03-15_00h31.52.114,1,0.3000371785387683,0.27,0.2827830699539595,0.7084346322153515,0.66,0.6860581000656927,-0.4083974536765832,-0.39,-0.40327503011173316,0.25734909045840604,0.16,0.22403506772564663,0.6208973645482486,0.58,0.6019099453909655,-0.3635482740898426,-0.41999999999999993,-0.3778748776653189
838091_Utility_discrimination_2024_2cat_2025-03-13_21h26.42.203,1,0.33753090933033847,0.32,0.3242552674369721,0.2430066024447145,0.24000000000000002,0.23576277753193325,0.09452430688562397,0.07999999999999999,0.08849248990503883,-0.025252470226504092,0.020000000000000004,-0.023790883458705198,-0.06658552179795471,0.010000000000000009,-0.05223784192998962,0.04133305157145062,0.009999999999999995,0.028446958471284423
