participant,feature_index,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5
166849_Utility_discrimination_2024_2cat_2025-03-19_19h23.08.912,4,1.2736805672313802,1.2500000000000002,1.2602275851529015,1.6511134190815846,1.6300000000000001,1.6380030459577835,-0.37743285185020437,-0.3799999999999999,-0.377775460804882,0.9212156395031375,0.96,0.9644880353094417,0.11081679516251318,0.1,0.09824840490589522,0.8103988443406243,0.86,0.8662396304035465
229150_Utility_discrimination_2024_2cat_2025-03-14_20h34.33.419,4,0.38357583055288924,0.38,0.37625909094554955,0.17812901042684381,0.17,0.17007624578005523,0.20544682012604543,0.21,0.20618284516549432,-0.037624181206145274,0.010000000000000009,-0.0287442570195377,0.040884367054105974,0.05,0.03365240276862727,-0.07850854826025125,-0.039999999999999994,-0.06239665978816497
053539_Utility_discrimination_2024_2cat_2025-03-17_00h40.52.420,4,0.8119290017689313,0.76,0.7886309178952103,0.3692611315277238,0.35,0.35618311704924155,0.4426678702412076,0.41000000000000003,0.4324478008459688,0.693271630020345,0.7,0.7033145495590634,0.5350336742855886,0.47,0.5089715627651125,0.1582379557347564,0.22999999999999998,0.1943429867939509
856852_Utility_discrimination_2024_2cat_2025-03-14_11h38.16.574,4,0.3620326667937829,0.36,0.35562413709373153,0.8247201140018009,0.78,0.804411046995521,-0.462687447208018,-0.42000000000000004,-0.4487869099017895,0.21838148580108302,0.15000000000000002,0.1928490099394954,0.8371262341902018,0.8,0.8205302732250598,-0.6187447483891189,-0.65,-0.6276812632855644
059774_Utility_discrimination_2024_2cat_2025-03-18_22h04.37.229,4,0.13916313843609732,0.13,0.13008977415192222,0.183594969399059,0.17,0.17110679647986746,-0.04443183096296169,-0.04000000000000001,-0.04101702232794524,0.3974773670531796,0.32,0.3698242207241239,0.006733799120929862,-0.009999999999999995,-0.00984868619087817,0.39074356793224974,0.33,0.3796729069150021
848799_Utility_discrimination_2024_2cat_2025-03-12_13h57.25.042,4,0.44215011425352657,0.33999999999999997,0.38801187289612726,0.3298274969162365,0.33,0.32348417840953225,0.1123226173372901,0.009999999999999953,0.06452769448659501,0.2983312228375805,0.27,0.29002679960381195,0.3663162292558293,0.27,0.3314180598318391,-0.06798500641824878,0.0,-0.04139126022802714
664805_Utility_discrimination_2024_2cat_2025-03-14_19h38.57.391,4,0.26268484710077394,0.26,0.2557017721952412,0.46863999970917936,0.42000000000000004,0.4422402614534021,-0.2059551526084054,-0.16000000000000003,-0.1865384892581609,-0.08977830258665587,-0.04000000000000001,-0.08552781164193698,0.49793227921562067,0.44000000000000006,0.47513013795060044,-0.5877105818022765,-0.4800000000000001,-0.5606579495925375
953060_Utility_discrimination_2024_2cat_2025-03-17_16h04.09.188,4,0.16856414243540607,0.16,0.1617726648205598,0.3608692588676371,0.36,0.35435580654173926,-0.19230511643223103,-0.19999999999999998,-0.19258314172117946,-0.09825150511228889,-0.03,-0.0861844806759974,0.5270252494187837,0.45999999999999996,0.5016590731555278,-0.6252767545310726,-0.49,-0.5878435538315252
537791_Utility_discrimination_2024_2cat_2025-03-14_20h45.35.085,4,0.1668623921041198,0.16,0.1600166205953718,0.18867136337662144,0.18,0.1798257254706114,-0.021808971272501643,-0.01999999999999999,-0.019809104875239597,-0.08120146260525707,-0.009999999999999995,-0.06748249439349785,0.42274756590473694,0.35,0.39629677468981983,-0.503949028509994,-0.36,-0.4637792690833177
501271_Utility_discrimination_2024_2cat_2025-03-14_15h23.42.123,4,0.18817683524135592,0.18,0.1810625841580131,0.1745111894899254,0.17,0.16717851312857862,0.013665645751430533,0.009999999999999981,0.01388407102943448,0.3759339271232066,0.29000000000000004,0.34380348179491527,0.36990013975064984,0.28,0.3369716803123932,0.006033787372556776,0.010000000000000009,0.0068318014825220486
788879_Utility_discrimination_2024_2cat_2025-03-15_15h55.58.904,4,0.368117811340935,0.36,0.35982157406471094,0.03024160700013069,0.03,0.023872959327128462,0.33787620434080434,0.32999999999999996,0.3359486147375825,0.5691888171262838,0.51,0.5455418626554145,-0.029798900901785746,-0.04999999999999999,-0.04590104846675816,0.5989877180280695,0.56,0.5914429111221726
509243_Utility_discrimination_2024_2cat_2025-03-14_00h08.13.599,4,1.083885955412123,1.06,1.0703240745849274,1.3270237451117246,1.31,1.314786549797596,-0.24313778969960165,-0.25,-0.2444624752126685,1.1354447761347364,1.11,1.1287450353536101,0.10086690499828205,0.1,0.09526279007626784,1.0345778711364544,1.01,1.0334822452773422
951473_Utility_discrimination_2024_2cat_2025-03-16_19h39.11.089,4,1.7476911171417613,1.7300000000000002,1.7365138580604436,1.862006655249538,1.84,1.8498474552388997,-0.11431553810777673,-0.10999999999999988,-0.11333359717845615,0.13131835226128552,0.1,0.10709834547777469,0.09886014300484736,0.1,0.09450796966319677,0.032458209256438164,0.0,0.01259037581457792
485127_Utility_discrimination_2024_2cat_2025-03-17_23h23.40.430,4,0.26667037672206206,0.25,0.25627264504768676,0.5594975360017388,0.55,0.5489214045376587,-0.29282715927967673,-0.30000000000000004,-0.29264875948997193,0.2021531011767574,0.17,0.18300943047090662,0.021153066808083335,0.1,0.036949735601925326,0.18100003436867407,0.07,0.1460596948689813
225967_Utility_discrimination_2024_2cat_2025-03-14_00h37.01.876,4,1.6232404459007765,1.6,1.6113966978961036,1.7313670275568005,1.7200000000000002,1.7215128187244892,-0.10812658165602396,-0.1200000000000001,-0.11011612082838562,0.12449206413054634,0.1,0.10411602361777407,0.38885822274256565,0.1,0.19475658915672445,-0.2643661586120193,0.0,-0.09064056553895038
775537_Utility_discrimination_2024_2cat_2025-03-17_14h12.46.286,4,0.11502945978644073,0.11,0.10815957321606705,0.25508226705866643,0.24000000000000002,0.24352999479548257,-0.1400528072722257,-0.13,-0.13537042157941553,-0.12066884193128011,-0.07,-0.11218959663112721,0.3718133784224452,0.28,0.34004561022477564,-0.49248222035372535,-0.35000000000000003,-0.45223520685590285
649603_Utility_discrimination_2024_2cat_2025-03-15_16h48.20.064,4,0.27031845507579644,0.26,0.26292246410124664,0.32004148568918755,0.31,0.31136479220513935,-0.04972303061339112,-0.04999999999999999,-0.04844232810389271,-0.08621815797278581,-0.03,-0.0769081558041251,0.28875975342973187,0.25,0.28009804032000934,-0.3749779114025177,-0.28,-0.3570061961241344
516600_Utility_discrimination_2024_2cat_2025-03-12_14h14.48.442,4,0.19244115941563628,0.17,0.17677000602179804,1.588864494497286,1.6400000000000001,1.5994921219578897,-1.3964233350816497,-1.4700000000000002,-1.4227221159360917,0.3045141068981241,0.21000000000000002,0.2723385318201539,0.5066967368270576,0.28,0.41217153793219063,-0.20218262992893354,-0.07,-0.13983300611203675
215334_Utility_discrimination_2024_2cat_2025-03-15_20h35.35.895,4,0.3467778919409136,0.33999999999999997,0.33768482146679146,1.6809288695430864,1.6600000000000001,1.6693517202055077,-1.3341509776021727,-1.3200000000000003,-1.3316668987387161,0.560768731121707,0.52,0.5402471037750796,0.1003145100000877,0.1,0.09507597770902385,0.46045422112161927,0.42000000000000004,0.4451711260660557
249109_Utility_discrimination_2024_2cat_2025-03-17_10h37.42.839,4,0.2843901354628422,0.27,0.2738417704664377,0.2544550618707413,0.25,0.2467426168823159,0.029935073592100903,0.020000000000000018,0.027099153584121793,0.24653765066383906,0.2,0.2257127036208817,-0.018500750389971746,0.09000000000000001,-0.00041667445506030076,0.2650384010538108,0.11,0.226129378075942
699892_Utility_discrimination_2024_2cat_2025-03-15_14h12.47.943,4,0.29834716311224735,0.32,0.29708899198462024,0.2879325835732767,0.25,0.2647141333800397,0.010414579538970625,0.07,0.03237485860458056,0.21562196772211528,0.14,0.1836039032035695,0.30229038377087286,0.2,0.2646726086041906,-0.08666841604875758,-0.06,-0.08106870540062111
639188_Utility_discrimination_2024_2cat_2025-03-17_13h17.01.639,4,-0.5883424056112304,-0.5900000000000001,-0.595075630328479,0.3706456560924717,0.36,0.36135581335335176,-0.9589880617037021,-0.9500000000000001,-0.9564314436818308,-0.155940609852776,-0.04999999999999999,-0.17250534848511337,0.5741158119262018,0.52,0.5522948041372269,-0.7300564217789778,-0.5700000000000001,-0.7248001526223402
872718_Utility_discrimination_2024_2cat_2025-03-18_22h58.34.246,4,1.7723779335455268,1.7500000000000002,1.7586495813929421,1.4565252421847523,1.4400000000000002,1.444388233303723,0.31585269136077443,0.31000000000000005,0.31426134808921913,0.1232258180320869,0.1,0.10086435789164327,0.12297168853712691,0.1,0.10171211866238714,0.00025412949495999537,0.0,-0.0008477607707438606
