participant,feature_index,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5
166849_Utility_discrimination_2024_2cat_2025-03-19_19h23.08.912,1,1.5136539609392856,1.4900000000000002,1.5018205853832478,1.5423249807970505,1.53,1.5312819425686726,-0.02867101985776488,-0.039999999999999813,-0.029461357185424752,1.0348644076060987,1.1300000000000001,1.1782749485713144,0.1029617304349257,0.1,0.09596940340804434,0.9319026771711729,1.03,1.0823055451632702
229150_Utility_discrimination_2024_2cat_2025-03-14_20h34.33.419,1,0.34975453213158125,0.33999999999999997,0.33949799675379466,0.2907524129308062,0.28,0.2804436127731033,0.05900211920077503,0.05999999999999994,0.05905438398069135,0.3830784156790832,0.39,0.39821520073906036,-0.03724599347386687,0.020000000000000004,-0.028619332288286448,0.42032440915295005,0.37,0.4268345330273468
053539_Utility_discrimination_2024_2cat_2025-03-17_00h40.52.420,1,0.5397736577035835,0.55,0.5378735528049841,0.3252696176030157,0.31,0.31504583809706044,0.21450404010056784,0.24000000000000005,0.22282771470792362,0.023555297875999998,0.1,0.03686940723152701,-0.0612905323797685,0.05,-0.049996418229869055,0.0848458302557685,0.05,0.08686582546139607
856852_Utility_discrimination_2024_2cat_2025-03-14_11h38.16.574,1,0.40766312345159716,0.4,0.3998256500403453,1.2642798872699799,1.2400000000000002,1.2522050336651487,-0.8566167638183827,-0.8400000000000002,-0.8523793836248034,-0.032211790475719704,0.020000000000000004,-0.022019754491847246,0.8885771747576924,0.85,0.8691849924283414,-0.920788965233412,-0.83,-0.8912047469201886
059774_Utility_discrimination_2024_2cat_2025-03-18_22h04.37.229,1,0.1800285525678026,0.16,0.1685847242768946,0.12554946756372032,0.12000000000000001,0.11811864498629876,0.05447908500408227,0.039999999999999994,0.05046607929059585,0.17593641158563297,0.09000000000000001,0.13923812023919765,-0.10168242789584409,-0.01999999999999999,-0.08740734911372677,0.27761883948147703,0.11,0.22664546935292443
848799_Utility_discrimination_2024_2cat_2025-03-12_13h57.25.042,1,0.3585059186386267,0.35,0.34872815448574346,0.24152925437982495,0.24000000000000002,0.23574130910300334,0.11697666425880174,0.10999999999999996,0.11298684538274012,0.3104661069782437,0.28,0.2975523718922598,0.20163785873426177,0.15000000000000002,0.17779868040557573,0.10882824824398196,0.13,0.11975369148668408
664805_Utility_discrimination_2024_2cat_2025-03-14_19h38.57.391,1,0.2544117696079936,0.26,0.250303614570639,0.2965842033838646,0.29000000000000004,0.2910185529753091,-0.04217243377587099,-0.030000000000000027,-0.04071493840467011,0.4931579966253563,0.43000000000000005,0.46891649120540024,-0.08658173990561233,0.010000000000000009,-0.07655450601570588,0.5797397365309687,0.42000000000000004,0.5454709972211061
953060_Utility_discrimination_2024_2cat_2025-03-17_16h04.09.188,1,0.20021975735859263,0.19,0.19232990879666617,0.34686421916552135,0.33999999999999997,0.3411114000627741,-0.14664446180692872,-0.14999999999999997,-0.1487814912661079,0.41172416094130504,0.33,0.3808408177774115,0.5363465573834587,0.47,0.5120202372112642,-0.12462239644215367,-0.13999999999999996,-0.1311794194338527
537791_Utility_discrimination_2024_2cat_2025-03-14_20h45.35.085,1,0.22488193638579243,0.22,0.2170587734789216,0.20317845035906162,0.2,0.19545631192588983,0.021703486026730806,0.01999999999999999,0.021602461553031777,-0.08246668751979505,-0.009999999999999995,-0.06844459776811368,-0.09153691092073424,-0.009999999999999995,-0.07740554370069139,0.009070223400939187,0.0,0.008960945932577707
501271_Utility_discrimination_2024_2cat_2025-03-14_15h23.42.123,1,0.23677218608358297,0.23,0.22752077091073453,0.19235420835992342,0.18,0.18453187001653082,0.044417977723659546,0.05000000000000002,0.04298890089420371,0.4012530365329775,0.31,0.369963903262736,0.37771806094029203,0.29000000000000004,0.3449937345432115,0.02353497559268547,0.019999999999999962,0.024970168719524455
788879_Utility_discrimination_2024_2cat_2025-03-15_15h55.58.904,1,0.06525243297486337,0.060000000000000005,0.05820490898100189,0.08311564392044306,0.07,0.0748018212980002,-0.01786321094557969,-0.010000000000000002,-0.016596912316998308,-0.059110815455608784,-0.07,-0.0753377110109422,-0.0750443236769271,-0.07,-0.08491007561740146,0.01593350822131831,0.0,0.009572364606459272
509243_Utility_discrimination_2024_2cat_2025-03-14_00h08.13.599,1,1.1240938738138415,1.09,1.1066764759552556,1.3036758318374033,1.29,1.292753417266502,-0.1795819580235618,-0.19999999999999996,-0.1860769413112464,0.40996873853617644,0.5700000000000001,0.5217548218934491,0.1367882330801673,0.1,0.10641563975533953,0.27318050545600914,0.4700000000000001,0.4153391821381096
951473_Utility_discrimination_2024_2cat_2025-03-16_19h39.11.089,1,1.6494738767321608,1.6400000000000001,1.6399919535478882,1.938595410309043,1.9200000000000002,1.9262111835082254,-0.2891215335768822,-0.28,-0.2862192299603372,0.09974506395654054,0.1,0.09490857411792591,0.2468233438590935,0.1,0.17680374611375319,-0.14707827990255296,0.0,-0.08189517199582727
485127_Utility_discrimination_2024_2cat_2025-03-17_23h23.40.430,1,0.25525423902468397,0.24000000000000002,0.24448666692438115,0.4517528338952874,0.44000000000000006,0.4439636620520684,-0.19649859487060345,-0.20000000000000004,-0.19947699512768724,0.28015731786056053,0.19,0.24985969091743973,0.35986299055875837,0.38,0.38556707174718663,-0.07970567269819784,-0.19,-0.1357073808297469
225967_Utility_discrimination_2024_2cat_2025-03-14_00h37.01.876,1,1.77323897646598,1.7500000000000002,1.7596065649738217,1.7719174377322358,1.78,1.7717703236800917,0.0013215387337441875,-0.029999999999999805,-0.012163758706269956,0.10886964214079516,0.1,0.09705422171050125,0.8877637214817834,1.4700000000000002,1.3556175595012623,-0.7788940793409882,-1.37,-1.258563337790761
775537_Utility_discrimination_2024_2cat_2025-03-17_14h12.46.286,1,0.13459446607871983,0.13,0.12692777348084627,0.12977585649810533,0.12000000000000001,0.12217217093790478,0.004818609580614502,0.009999999999999995,0.004755602542941495,0.3059830348368401,0.2,0.2681104595134294,0.33265437586149826,0.24000000000000002,0.29952753932791976,-0.02667134102465818,-0.04000000000000001,-0.03141707981449038
649603_Utility_discrimination_2024_2cat_2025-03-15_16h48.20.064,1,0.31416941587259645,0.30000000000000004,0.30574626646257574,0.3352593181083395,0.32,0.3255290457517126,-0.02108990223574303,-0.019999999999999962,-0.019782779289136854,0.18462721106228988,0.12000000000000001,0.15572372917227756,0.5198443575791009,0.45000000000000007,0.49354399166958873,-0.335217146516811,-0.33000000000000007,-0.3378202624973112
516600_Utility_discrimination_2024_2cat_2025-03-12_14h14.48.442,1,0.1351372103166706,0.13,0.12868799399646122,0.9644275122992049,0.93,0.9472754758052797,-0.8292903019825343,-0.8,-0.8185874818088185,0.44526659240493793,0.37,0.4156949829250344,0.2940089451910064,0.23,0.2683717209189823,0.15125764721393153,0.13999999999999999,0.14732326200605206
215334_Utility_discrimination_2024_2cat_2025-03-15_20h35.35.895,1,0.812894729722407,0.76,0.7898466731008892,1.5391291273048255,1.52,1.5263428558358803,-0.7262343975824186,-0.76,-0.7364961827349911,0.27940635800344793,0.18,0.24012055499473905,0.5063530662777909,1.5000000000000002,0.25999247544433934,-0.22694670827434293,-1.3200000000000003,-0.01987192044960029
249109_Utility_discrimination_2024_2cat_2025-03-17_10h37.42.839,1,0.6521778544858223,0.6799999999999999,0.6780048171279542,0.7906964839110974,0.75,0.7699726321030151,-0.13851862942527504,-0.07000000000000006,-0.0919678149750609,0.42736160815194413,0.36,0.40177487103552534,-0.05253482159360792,-0.04000000000000001,-0.05660434239397988,0.479896429745552,0.4,0.4583792134295052
699892_Utility_discrimination_2024_2cat_2025-03-15_14h12.47.943,1,0.14269563420537817,0.14,0.13530453963128022,0.2101534695223417,0.19,0.19588444763265073,-0.06745783531696353,-0.04999999999999999,-0.0605799080013705,-0.07264415815817263,-0.04000000000000001,-0.0740148977199847,0.29996750207251877,0.21000000000000002,0.26967207538930704,-0.37261166023069137,-0.25,-0.34368697310929175
639188_Utility_discrimination_2024_2cat_2025-03-17_13h17.01.639,1,0.08589261044655704,0.08,0.08190951493842562,0.38719360457275565,0.37,0.37477831613389934,-0.3013009941261986,-0.29,-0.2928688011954737,0.07474190872625353,0.1,0.07612319490995315,0.24405871651800007,0.2,0.22407577651399882,-0.16931680779174654,-0.1,-0.14795258160404567
872718_Utility_discrimination_2024_2cat_2025-03-18_22h58.34.246,1,1.7235526206331442,1.7000000000000002,1.7104802037959463,1.5482978072244067,1.53,1.5359455331935856,0.1752548134087375,0.17000000000000015,0.17453467060236072,0.10061630684323832,0.1,0.09515338216775662,0.10196090155800333,0.1,0.09552447934365572,-0.0013445947147650156,0.0,-0.00037109717589910163
197640_Utility_discrimination_2024_2cat_2025-03-14_12h20.24.150,1,0.1614699046057942,0.16,0.15495376608625097,0.1637724013791335,0.16,0.15637485496418,-0.0023024967733392965,0.0,-0.001421088877929022,-0.09169368996330951,-0.04000000000000001,-0.08179082999508142,-0.09882603125970571,-0.03,-0.08747695488734528,0.0071323412963962,-0.010000000000000009,0.005686124892263861
227467_Utility_discrimination_2024_2cat_2025-03-13_18h34.20.777,1,-1.241188582586853,-1.23,-1.2417812341422751,-1.4709693551776455,-1.48,-1.4789216294677483,0.22978077259079255,0.25,0.23714039532547315,-0.04266882834756175,-0.19999999999999998,-0.07823905333759928,0.30464881552692413,0.23,0.27902385299457044,-0.3473176438744859,-0.43,-0.3572629063321697
171876_Utility_discrimination_2024_2cat_2025-03-15_10h05.58.976,1,0.11442545347372773,0.1,0.10536959696415273,0.10643426242269668,0.09000000000000001,0.09658998349104268,0.007991191051031049,0.009999999999999995,0.008779613473110043,0.24125638877389474,0.15000000000000002,0.20846776512880377,-0.18015809673280422,-0.19999999999999998,-0.19335676181886616,0.42141448550669897,0.35,0.4018245269476699
225967_Utility_discrimination_2024_2cat_2025-03-14_09h00.29.757,1,1.5516626514329486,1.53,1.5384121103876989,1.593849412801139,1.57,1.5808367935992012,-0.04218676136819033,-0.040000000000000036,-0.04242468321150228,0.7372701126295668,1.4500000000000002,0.5417993878239578,1.0879831204862285,1.04,1.1017349776999952,-0.3507130078566617,0.41000000000000014,-0.5599355898760374
772950_Utility_discrimination_2024_2cat_2025-03-15_00h31.52.114,1,0.3000371785387683,0.27,0.2827830699539595,0.7084346322153515,0.66,0.6860581000656927,-0.4083974536765832,-0.39,-0.40327503011173316,0.25734909045840604,0.16,0.22403506772564663,0.6208973645482486,0.58,0.6019099453909655,-0.3635482740898426,-0.41999999999999993,-0.3778748776653189
838091_Utility_discrimination_2024_2cat_2025-03-13_21h26.42.203,1,0.33753090933033847,0.32,0.3242552674369721,0.2430066024447145,0.24000000000000002,0.23576277753193325,0.09452430688562397,0.07999999999999999,0.08849248990503883,-0.025252470226504092,0.020000000000000004,-0.023790883458705198,-0.06658552179795471,0.010000000000000009,-0.05223784192998962,0.04133305157145062,0.009999999999999995,0.028446958471284423
Nidhi_Shah_Utility_discrimination_2024_2cat_2025-03-19_21h14.14.065,1,1.8020123154339573,1.79,1.791755451079498,1.8158639290912595,1.8,1.8035428552733694,-0.013851613657302142,-0.010000000000000009,-0.011787404193871476,0.10001991109709267,0.1,0.09500502491180356,0.1147537086058948,0.1,0.09864727469887109,-0.014733797508802132,0.0,-0.0036422497870675363
