participant,feature_index,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5,alpha_angle
197640_Utility_discrimination_2024_2cat_2025-03-14_12h20.24.150,1,0.1614699046057942,0.16,0.1549537660862509,0.1637724013791335,0.16,0.15637485496418,-0.0023024967733392,0.0,-0.001421088877929,-0.0916936899633095,-0.04,-0.0817908299950814,-0.0988260312597057,-0.03,-0.0874769548873452,0.0071323412963962,-0.01,0.0056861248922638,22.5
227467_Utility_discrimination_2024_2cat_2025-03-13_18h34.20.777,1,-1.241188582586853,-1.23,-1.2417812341422751,-1.4709693551776457,-1.48,-1.4789216294677483,0.2297807725907925,0.25,0.2371403953254731,-0.0426688283475617,-0.1999999999999999,-0.0782390533375992,0.3046488155269241,0.23,0.2790238529945704,-0.3473176438744859,-0.43,-0.3572629063321697,22.5
171876_Utility_discrimination_2024_2cat_2025-03-15_10h05.58.976,1,0.1144254534737277,0.1,0.1053695969641527,0.1064342624226966,0.09,0.0965899834910426,0.007991191051031,0.0099999999999999,0.00877961347311,0.2412563887738947,0.15,0.2084677651288037,-0.1801580967328042,-0.1999999999999999,-0.1933567618188661,0.4214144855066989,0.35,0.4018245269476699,22.5
225967_Utility_discrimination_2024_2cat_2025-03-14_09h00.29.757,1,1.5516626514329486,1.53,1.5384121103876989,1.593849412801139,1.57,1.5808367935992012,-0.0421867613681903,-0.04,-0.0424246832115022,0.7372701126295668,1.4500000000000002,0.5417993878239578,1.0879831204862285,1.04,1.1017349776999952,-0.3507130078566617,0.4100000000000001,-0.5599355898760374,22.5
772950_Utility_discrimination_2024_2cat_2025-03-15_00h31.52.114,1,0.3000371785387683,0.27,0.2827830699539595,0.7084346322153515,0.66,0.6860581000656927,-0.4083974536765832,-0.39,-0.4032750301117331,0.257349090458406,0.16,0.2240350677256466,0.6208973645482486,0.58,0.6019099453909655,-0.3635482740898426,-0.4199999999999999,-0.3778748776653189,22.5
838091_Utility_discrimination_2024_2cat_2025-03-13_21h26.42.203,1,0.3375309093303384,0.32,0.3242552674369721,0.2430066024447145,0.24,0.2357627775319332,0.0945243068856239,0.0799999999999999,0.0884924899050388,-0.025252470226504,0.02,-0.0237908834587051,-0.0665855217979547,0.01,-0.0522378419299896,0.0413330515714506,0.0099999999999999,0.0284469584712844,22.5
Nidhi_Shah_Utility_discrimination_2024_2cat_2025-03-19_21h14.14.065,1,1.8020123154339571,1.79,1.791755451079498,1.8158639290912597,1.8,1.8035428552733692,-0.0138516136573021,-0.01,-0.0117874041938714,0.1000199110970926,0.1,0.0950050249118035,0.1147537086058948,0.1,0.098647274698871,-0.0147337975088021,0.0,-0.0036422497870675,22.5
166849_Utility_discrimination_2024_2cat_2025-03-19_19h23.08.912,2,1.5679229737419194,1.54,1.5531241108847642,1.4366159650918,1.4400000000000002,1.4302913467640583,0.1313070086501193,0.0999999999999998,0.1228327641207058,0.1959859890205756,0.1,0.1284740240459218,0.8382772126761106,0.82,0.8403291239211981,-0.6422912236555349,-0.72,-0.7118550998752762,45.0
229150_Utility_discrimination_2024_2cat_2025-03-14_20h34.33.419,2,0.5673423439660642,0.56,0.5595438140168607,0.2736825110550298,0.26,0.2642947757156301,0.2936598329110343,0.3,0.2952490383012306,0.3049182844856241,0.55,0.3862317606327496,0.3492522690456228,0.27,0.3235778216800223,-0.0443339845599987,0.28,0.0626539389527273,45.0
053539_Utility_discrimination_2024_2cat_2025-03-17_00h40.52.420,2,0.6539903417809195,0.63,0.6408531573174558,0.3091820289186181,0.3,0.300907787254869,0.3448083128623014,0.3299999999999999,0.3399453700625868,0.4504469719667423,0.48,0.4747333357098895,-0.0341894084752191,0.06,-0.0170580547764368,0.4846363804419614,0.42,0.4917913904863263,45.0
856852_Utility_discrimination_2024_2cat_2025-03-14_11h38.16.574,2,0.4045693628555735,0.4,0.3966989605325486,1.367265856107008,1.34,1.3513834209181057,-0.9626964932514344,-0.94,-0.9546844603855572,0.2686693466818266,0.25,0.256438887221832,1.0594239019272886,1.03,1.0468237171452486,-0.790754555245462,-0.78,-0.7903848299234166,45.0
059774_Utility_discrimination_2024_2cat_2025-03-18_22h04.37.229,2,0.2017568863749314,0.18,0.1893706915820249,0.1836882464552822,0.15,0.1612653530312939,0.0180686399196492,0.0299999999999999,0.0281053385507309,0.4319496128955391,0.36,0.4042717635739041,0.0475107721713328,-0.0199999999999999,0.0196760347746959,0.3844388407242063,0.38,0.3845957287992081,45.0
848799_Utility_discrimination_2024_2cat_2025-03-12_13h57.25.042,2,0.5756078401406264,0.65,0.6138127002199898,0.3337502630529011,0.3,0.3223589215168196,0.2418575770877252,0.35,0.2914537787031701,0.265879558975803,0.62,0.2259453153615211,0.2518228904759836,0.2,0.231846199134719,0.0140566684998194,0.42,-0.0059008837731978,45.0
664805_Utility_discrimination_2024_2cat_2025-03-14_19h38.57.391,2,0.2960178216822146,0.28,0.2851047913097462,0.2725440396193436,0.27,0.2673998763064372,0.0234737820628709,0.01,0.0177049150033089,0.2570476590977062,0.22,0.2417814866551773,0.317226234718236,0.23,0.2903261214712826,-0.0601785756205298,-0.01,-0.0485446348161053,45.0
953060_Utility_discrimination_2024_2cat_2025-03-17_16h04.09.188,2,0.2187723373287849,0.21,0.2105212941631222,0.399742532669016,0.39,0.3900173594570725,-0.1809701953402311,-0.18,-0.1794960652939503,0.437024911445166,0.36,0.4077584634997029,-0.0406034485245358,0.02,-0.0294470321784658,0.4776283599697019,0.3399999999999999,0.4372054956781687,45.0
537791_Utility_discrimination_2024_2cat_2025-03-14_20h45.35.085,2,0.3204042111689851,0.31,0.3093911781284285,0.1679843029180927,0.16,0.1607353006778031,0.1524199082508924,0.15,0.1486558774506253,0.4933956452625472,0.42,0.4662365919392136,0.2698937115249655,0.2,0.2452844964502689,0.2235019337375817,0.22,0.2209520954889446,45.0
501271_Utility_discrimination_2024_2cat_2025-03-14_15h23.42.123,2,0.133598324010161,0.13,0.1270375347446384,0.2269690887677603,0.22,0.2177707054628619,-0.0933707647575992,-0.09,-0.0907331707182235,0.3906209560504362,0.31,0.3605292405092797,0.3789841199785259,0.29,0.3449804671175841,0.0116368360719103,0.0199999999999999,0.0155487733916955,45.0
788879_Utility_discrimination_2024_2cat_2025-03-15_15h55.58.904,2,0.0020937622607965,0.02,0.0110872400106387,0.1433121424784349,0.13,0.1320177965045288,-0.1412183802176384,-0.11,-0.12093055649389,-0.1269656578644898,-0.1,-0.1268169759499838,-0.1054249831631881,-0.07,-0.1042825356840338,-0.0215406747013016,-0.03,-0.02253444026595,45.0
509243_Utility_discrimination_2024_2cat_2025-03-14_00h08.13.599,2,0.975563030112797,0.96,0.9649186834092274,1.3665795547407769,1.34,1.3511183354544056,-0.3910165246279798,-0.3800000000000001,-0.3861996520451782,0.8012691673334938,0.91,0.8696640368037004,0.1119094030887438,0.1,0.0953285746823572,0.68935976424475,0.81,0.7743354621213432,45.0
951473_Utility_discrimination_2024_2cat_2025-03-16_19h39.11.089,2,1.824798628020404,1.8,1.8121548161990344,1.903950840395784,1.9,1.90224970979014,-0.07915221237538,-0.1,-0.0900948935911056,0.0998357784466605,0.1,0.0949401483692707,0.1204423163251315,0.1,0.099313128194853,-0.020606537878471,0.0,-0.0043729798255823,45.0
485127_Utility_discrimination_2024_2cat_2025-03-17_23h23.40.430,2,0.2583400295180533,0.24,0.2480420390625393,0.5644232334600533,0.55,0.5541099384080637,-0.306083203942,-0.31,-0.3060678993455243,0.3639550500415992,0.29,0.3313000900148215,0.6642227082955298,0.62,0.6464900761872377,-0.3002676582539305,-0.3299999999999999,-0.3151899861724162,45.0
225967_Utility_discrimination_2024_2cat_2025-03-14_00h37.01.876,2,1.821001025844988,1.8,1.8082172983449087,1.8404616440193269,1.82,1.82819999277205,-0.0194606181743384,-0.02,-0.0199826944271408,1.3448555288147392,1.63,1.6109444504140962,0.1002776847417391,0.1,0.0950730723036079,1.2445778440730002,1.53,1.5158713781104882,45.0
775537_Utility_discrimination_2024_2cat_2025-03-17_14h12.46.286,2,0.2002156050757146,0.19,0.1908946382730696,0.1748265858256237,0.17,0.166534620584869,0.0253890192500908,0.0199999999999999,0.0243600176882006,0.224020165438302,0.15,0.1952651612378995,0.1822043524739172,0.11,0.1492664144508604,0.0418158129643848,0.04,0.0459987467870391,45.0
649603_Utility_discrimination_2024_2cat_2025-03-15_16h48.20.064,2,0.3722431128741466,0.36,0.3608050044787486,0.2822389950063242,0.28,0.2749136218125571,0.0900041178678223,0.0799999999999999,0.0858913826661915,0.1926142755393249,0.14,0.1694268424316698,0.3532898148878594,0.28,0.321725787608097,-0.1606755393485344,-0.14,-0.1522989451764271,45.0
516600_Utility_discrimination_2024_2cat_2025-03-12_14h14.48.442,2,0.1569972390995311,0.15,0.1495215290294061,1.7064032138020435,1.6900000000000002,1.6945838133170676,-1.5494059747025124,-1.54,-1.5450622842876616,0.0412964558205116,0.02,0.0238267372102709,-0.0128219741058895,0.02,-0.0087343370509325,0.0541184299264011,0.0,0.0325610742612034,45.0
215334_Utility_discrimination_2024_2cat_2025-03-15_20h35.35.895,2,0.6751742842283861,0.65,0.6580190231655981,1.625134220682552,1.6,1.6109322232939711,-0.9499599364541658,-0.95,-0.9529132001283732,0.7031507441833168,0.6799999999999999,0.69154180524174,0.3072028869109294,0.1,0.1590058616375049,0.3959478572723873,0.58,0.5325359436042352,45.0
249109_Utility_discrimination_2024_2cat_2025-03-17_10h37.42.839,2,0.592338194682345,0.71,0.6881096391379413,0.3388233372209071,0.29,0.3070667108890781,0.2535148574614379,0.4199999999999999,0.3810429282488632,-0.0439708787616691,0.03,-0.0320041561215848,-0.0722234047553994,-0.04,-0.0670340569523395,0.0282525259937303,0.07,0.0350299008307546,45.0
