Consent.started,Consent.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,SetupExperiment.started,SetupExperiment.stopped,DiscrimInstructions_Pre.started,DiscrimInstructions_Pre.stopped,KeyboardResponse.keys,KeyboardResponse.rt,KeyboardResponse.duration,feature_index,feature_center,feature_vector,correct_answer,coord1,coord2,DiscriminationTrial.started,DiscriminationTrial.stopped,PreTest.response,Resp_s_or_d.keys,Resp_s_or_d.corr,Resp_s_or_d.rt,Resp_s_or_d.duration,PreTest.CI_lower,PreTest.CI_upper,PreTest.CI_width,CrashPretest_2.started,CrashPretest_2.stopped,PreTest.thisRepN,PreTest.thisTrialN,PreTest.thisN,PreTest.thisIndex,PreTest.ran,PreTest.intensity,intensity,PreTest.label,PreTest.nReps,PreTest.method,PreTest.autoLog,PreTest.seed,PreTest.varName,PreTest.startVal,PreTest.minVal,PreTest.maxVal,PreTest.startValSd,PreTest.pThreshold,PreTest.nTrials,PreTest.maxTrials,PreTest.stopInterval,PreTest.beta,PreTest.delta,PreTest.gamma,PreTest.grain,WelcomeToCategorizationTask.started,WelcomeToCategorizationTask.stopped,PressAnyKey3.keys,PressAnyKey3.rt,PressAnyKey3.duration,shape_coordinates,category_center,category_sigma,subspace_center,subspace_vector1,subspace_vector2,CategorizationTrial.started,CategorizationTrial.stopped,Respond_1or2.keys,Respond_1or2.rt,Respond_1or2.duration,Feedback.started,Feedback.stopped,xcoord,ycoord,shape_coord,numeric_response_minus1,correctness,truecategory,mixture_index,respAifA,respBifA,respAifB,respBifB,trial_number,D,muAx,muAy,muBx,muBy,sigmaA,sigmaB,priorA,priorB,TrialLoop.thisRepN,TrialLoop.thisTrialN,TrialLoop.thisN,TrialLoop.thisIndex,TrialLoop.ran,DiscriminationInstructions_Post.started,DiscriminationInstructions_Post.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,PostTest.response,PostTest.CI_lower,PostTest.CI_upper,PostTest.CI_width,CrashPosttest.started,CrashPosttest.stopped,PostTest.thisRepN,PostTest.thisTrialN,PostTest.thisN,PostTest.thisIndex,PostTest.ran,PostTest.intensity,PostTest.label,PostTest.nReps,PostTest.method,PostTest.autoLog,PostTest.seed,PostTest.varName,PostTest.startVal,PostTest.minVal,PostTest.maxVal,PostTest.startValSd,PostTest.pThreshold,PostTest.nTrials,PostTest.maxTrials,PostTest.stopInterval,PostTest.beta,PostTest.delta,PostTest.gamma,PostTest.grain,Thanks.started,Thanks.stopped
0.0001,2.4212,y,2.3823,,059774,001,2025-03-18_22h04.37.229,Utility_discrimination_2024_2cat,2024.2.4,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,059774,001,2025-03-18_22h04.37.229,Utility_discrimination_2024_2cat,2024.2.4,MacIntel,30.03003003,2.4216,2.4218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,059774,001,2025-03-18_22h04.37.229,Utility_discrimination_2024_2cat,2024.2.4,MacIntel,30.03003003,,,2.4219,34.6877,space,32.2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,059774,001,2025-03-18_22h04.37.229,Utility_discrimination_2024_2cat,2024.2.4,MacIntel,30.03003003,,,,,,,,0,"[0.5,0.5]","[1,0]",,"[0.6185239449756466,0.5]","[0.3814760550243534,0.5]",34.7188,37.3878,0,s,0,1.1418,,-0.447967632,0.547967632,0.995935263,37.3915,37.3916,0,0,0,0,1,0.118523945,0.118523945,shape_difference2,1,,TRUE,,intensity,0.1,0.05,0.7,0.3,0.82,20,400,1E-11,3.5,0.01,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,059774,001,2025-03-18_22h04.37.229,Utility_discrimination_2024_2cat,2024.2.4,MacIntel,30.03003003,,,,,,,,1,"[0.5,0.5]","[0.924,0.383]",d,"[0.6185239449756466,0.5]","[0.3814760550243534,0.5]",37.393,40.2871,0,s,0,1.3594,,-0.447967632,0.547967632,0.995935263,40.2893,40.2894,0,1,1,1,1,0.118523945,0.118523945,shape_difference0,1,,TRUE,,intensity,0.1,0.05,0.7,0.3,0.82,20,400,1E-11,3.5,0.01,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,059774,001,2025-03-18_22h04.37.229,Utility_discrimination_2024_2cat,2024.2.4,MacIntel,30.03003003,,,,,,,,3,"[0.5,0.5]","[0.383,0.924]",d,"[0.6095161251574974,0.5453946709256726]","[0.3904838748425025,0.4546053290743273]",40.2906,42.8207,1,s,1,0.9657,,-0.447967632,0.547967632,0.995935263,42.8234,42.8234,0,2,2,2,1,0.118523945,0.118523945,shape_difference1,1,,TRUE,,intensity,0.1,0.05,0.7,0.3,0.82,20,400,1E-11,3.5,0.01,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,059774,001,2025-03-18_22h04.37.229,Utility_discrimination_2024_2cat,2024.2.4,MacIntel,30.03003003,,,,,,,,4,"[0.5,0.5]","[0,1]",s,"[0.5453946709256726,0.6095161251574974]","[0.4546053290743273,0.3904838748425025]",42.8246,45.2205,1,s,1,0.8503,,-0.447967632,0.547967632,0.995935263,45.224,45.224,0,3,3,3,1,0.118523945,0.118523945,shape_difference3,1,,TRUE,,intensity,0.1,0.05,0.7,0.3,0.82,20,400,1E-11,3.5,0.01,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,059774,001,2025-03-18_22h04.37.229,Utility_discrimination_2024_2cat,2024.2.4,MacIntel,30.03003003,,,,,,,,2,"[0.5,0.5]","[0.707,0.707]",s,"[0.5,0.6185239449756466]","[0.5,0.3814760550243534]",45.2251,47.754,1,s,1,0.98,,0.008797352,0.664308158,0.655510806,47.7567,47.7568,0,4,4,4,1,0.118523945,0.118523945,shape_difference4,1,,TRUE,,intensity,0.1,0.05,0.7,0.3,0.82,20,400,1E-11,3.5,0.01,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,059774,001,2025-03-18_22h04.37.229,Utility_discrimination_2024_2cat,2024.2.4,MacIntel,30.03003003,,,,,,,,0,"[0.5,0.5]","[1,0]",s,"[0.7295760208722043,0.7295760208722043]","[0.2704239791277957,0.2704239791277957]",47.7586,50.1538,1,s,1,0.8556,,0.008797352,0.664308158,0.655510806,50.1562,50.1562,0,5,5,5,1,0.324718559,0.324718559,shape_difference2,1,,TRUE,,intensity,0.1,0.05,0.7,0.3,0.82,20,400,1E-11,3.5,0.01,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,059774,001,2025-03-18_22h04.37.229,Utility_discrimination_2024_2cat,2024.2.4,MacIntel,30.03003003,,,,,,,,4,"[0.5,0.5]","[0,1]",s,"[0.8247185585179694,0.5]","[0.17528144148203062,0.5]",50.1572,52.7207,1,s,1,1.0012,,-0.479157219,0.478510979,0.957668197,52.7245,52.7245,0,6,6,6,1,0.324718559,0.324718559,shape_difference0,1,,TRUE,,intensity,0.1,0.05,0.7,0.3,0.82,20,400,1E-11,3.5,0.01,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
